 i"Anfangsbuchstabe","Title","Begriff","Hinweis","Link"
"E","E³-System-Plattform","Die E³-System-Plattform erlaubt die Ausführung von Applikationen und Softwarekomponenten. Sie basiert auf einem POSIX-Betriebssystem und abstrahiert dessen Möglichkeiten gegenüber der Anwendung. Die E³-System-Plattform soll den Betrieb von Softwarekomponenten mit Safety-Level ASIL A-B und QM ermöglichen.",,
"F","Funktionsbereich","Ein Funktionsbereich fasst Funktionsfamilien und/oder Kundenfahrzeugfunktionen unter funktionalem Aspekt zusammen. Er ist die erste Ebene der Gliederungsstruktur des E/E-Funktionskataloges bzw. E/E-Funktionsliste. Z.B. Antriebsstrang, Fahrwerk, FASIS, Infotainment, …",,
"F","Funktionsfamilie","Eine Funktionsfamilie fasst inhaltlich zusammenhängende Kundenfahrzeug-Funktionen und /oder untergeordnete Funktionsfamilien zusammen. Sie kann im Baum höchstens 2-fach ineinander geschachtelt werden. Z.B. Allradsteuerung, Getriebesteuerung, …",,
"F","Funktionsvariante (FV)","Mit Hilfe der Funktionsvariante (FV) werden unterschiedliche funktionale Ausprägungen einer Kundenfahrzeug-Funktion, eines Basisdienstes oder einer Querschnittsfunktion beschrieben. Pro Funktion muss mindestens eine Funktionsvariante (FV) definiert und angelegt werden. Ein Baukasten- oder Fahrzeugprojekt kann mehrere Funktionsvarianten enthalten. Ein konkretes physisches Fahrzeug beinhaltet jeweils nur eine Funktionsvariante. Im Namen der Funktionsvariante sollte der Name der Kunden-Fahrzeugfunktion erkennbar sein (Steigerung Wiedererkennungswert). Am Element Funktionsvariante werden in den Funktionslisten die projektspezifischen Attribute (u.a. der Projektstand) dokumentiert. Die Funktionsvariante ist die Basis der Folgeprozesse.",,
"H","HCP","High-Performance Computing Platform",,
"H","HIR","Hoch-Integrations-Rechner",,
"K","Komponentennahe Funktion (KNF)","Schnittstellen zwischen Funktionsblöcken und Sensoren/Aktuatoren. Stellen hardwarenahe Systemfunktion dar.",,
"K","Kunden-Fahrzeugfunktion (KFF)","Eine Kunden-Fahrzeugfunktion beschreibt ein gewünschtes Verhalten eines Fahrzeuges, das unabhängig von seiner Realisierung durch die verwendete Technik und Systemarchitektur dokumentiert wird. Eine Kunden-Fahrzeugfunktion ist für einen Kunden (Fahrer, Mitfahrer, andere Verkehrsteilnehmer, Kundendienst u. Produktion) nutzbar oder bietet ihm als Ganzes einen Mehrwert. Dokumentiert werden ebenfalls durch Vorschriften, Normen und Gesetze geforderte Funktionen. Als Kunden-Fahrzeugfunktionen werden auch die Funktionen dokumentiert, deren Ausfall bzw. Fehlerzustand von Kunden beobachtbar ist und bemängelt werden kann (z.B. Ruhestrommanagement, HV-Netz-Steuerung). Auf der Ebene der Kunden-Fahrzeugfunktionen werden ebenfalls die Basisdienste und Querschnittsfunktionen abgebildet. Z.B. Allradantrieb, Fahrstufe einlegen, Gangwechsel, ...",,
"M","MBB","Modularer Backend-Baukasten",,
"N","Nicht-Verteilte Funktion","Eine nicht-verteilte Funktion ist eine auf logischer Ebene beschriebene Aufgabe, die sich aus Anforderungen ableitet und durch nur eine Komponente auf technischer Ebene realisiert wird. Der Begriff Funktion ist gleichbedeutend mit UseCase, daher kann auch ein UseCase verteilt oder nicht-verteilt sein.",,
"P","Partition","Eine Partition ist die Instanziierung und Verortung von Teilfunktionen einer Umgebung auf konkrete Hardware. Eine Partition kann beispielsweise die Implementierung der Infotainment-Umgebung (umfasst mehrere Partitionen) auf dem Steuergerät sein.",,
"Q","Querschnitts(basis)funktion","Eine Querschnittsfunktion ist eine mehrfach instanziierte Funktion in verschiedenen Komponenten und erfüllt mehrfach im Fahrzeug die gleiche Funktion. Z. B. Netzwerkmanagement, Ereignisspeicher, Komponentenschutz, ...",,
"S","SDK","Software Development Kit: Entwicklungsumgebung, in welcher Anwendungen für ein System entwickelt werden.",,
"T","Teilfunktion","Teilfunktionen sind in der Struktur optional. Teilfunktionen dienen der Detailierung einer Funktionsvariante. Teilfunktionen können in der Baumstruktur unterhalb der Funktionsvariante geschachtelt werden. In der Regel stellt die Anzahl der Teilfunktionen einen Obermenge über alle Projekte dar. In den einzelnen projektspezifische Funktionslisten können nicht relevante Teilfunktionen entfernt werden.",,
"U","Umgebung","Eine Umgebung ist eine logische Einheit mit definierten Charakteristika, die sich mit den Eigenschaften von Teilfunktionen decken (z.B. Echtzeitanforderungen, Safety-Anforderungen). Eine Umgebung kann beispielsweise alle Funktionen des Infotainment umfassen. Wichtig: Unterschied zur Partition als physische Verortung einer Umgebung.",,
"V","Verteilte Funktion","Eine verteilte Funktion ist eine auf logischer Ebene beschriebene Aufgabe, die sich aus Anforderungen ableitet und durch mehrere Komponenten auf technischer Ebene realisiert wird. Der Begriff Funktion ist gleichbedeutend mit UseCase, daher kann auch ein UseCase verteilt oder nicht-verteilt sein.",,
